"","var","NA Fungi st parm","NA Fungi st p.val","NA Fungi env parm","NA Fungi env p.val","NA Fungi st.env parm","NA Fungi st.env p.val","Global Fungi st parm","Global Fungi st p.val","Global Fungi env parm","Global Fungi env p.val","Global Fungi st.env parm","Global Fungi st.env p.val"
"1","Int",-2.96949449192599,"N.S.",-2.27921021483482,"N.S.",-2.2063539626053,"N.S.",-2.62167504452565,"N.S.",-1.70171409527004,"N.S.",-1.66660988489078,"N.S."
"2","space",-0.000451372713580741,"0.001",NA,NA,-0.000192303227488187,"0.001",-3.91892607917495e-05,"0.001",NA,NA,1.13942573706685e-07,"N.S."
"3","time",9.80873481747043e-05,"N.S.",NA,NA,9.7022155128622e-05,"N.S.",-6.57365973130361e-05,"N.S.",NA,NA,-0.000304134485556169,"0.001"
"4","doy",-1.73614717954491,"0.001",NA,NA,-0.774799879412075,"0.001",0.0212882538118251,"N.S.",NA,NA,0.170312100207093,"N.S."
"5","MAT",NA,NA,-0.144325724395038,"0.001",-0.123142538668308,"0.001",NA,NA,-0.0348904738369142,"0.001",-0.0377501499341546,"0.001"
"6","MAP",NA,NA,-0.000794953467540403,"0.001",-0.000467611042081705,"0.001",NA,NA,NA,NA,NA,NA
"7","MAT_CV",NA,NA,0.185075517512393,"0.001",0.172361263490227,"0.001",NA,NA,NA,NA,NA,NA
"8","MAP_CV",NA,NA,-7.42944601669601,"0.001",-2.50198153802098,"0.035",NA,NA,-0.579481762584274,"0.002",-0.587986697294134,"0.001"
"9","NPP",NA,NA,-0.453747465256574,"0.001",NA,NA,NA,NA,NA,NA,NA,NA
"10","pC",NA,NA,-0.0146871798783938,"0.001",-0.012003915568724,"0.001",NA,NA,NA,NA,NA,NA
"11","cn",NA,NA,NA,NA,NA,NA,NA,NA,-0.0294265690806624,"0.001",-0.0302347795150459,"0.001"
"12","pH",NA,NA,-0.405055635434598,"0.001",-0.405999305087924,"0.001",NA,NA,-0.397686112481219,"0.001",-0.404538444034986,"0.001"
"13","moist",NA,NA,NA,NA,-0.406998544708126,"0.019",NA,NA,-0.00246466433860892,"0.036",NA,NA
